,"Gross domestic product 2021, PPP",,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,international dollars),
,,,,,
,,,,,
CHN,1,,China," 27,312,548 ",
USA,2,,United States," 22,996,100 ",
IND,3,,India," 10,218,573 ",
JPN,4,,Japan," 5,396,819 ",
DEU,5,,Germany," 4,815,479 ",
RUS,6,,Russian Federation," 4,785,445 ",h
IDN,7,,Indonesia," 3,566,265 ",
BRA,8,,Brazil," 3,435,882 ",
FRA,9,,France," 3,424,152 ",
GBR,10,,United Kingdom," 3,344,468 ",
ITA,11,,Italy," 2,713,266 ",
MEX,12,,Mexico," 2,609,993 ",
TUR,13,,Türkiye," 2,591,455 ",
KOR,14,,"Korea, Rep."," 2,427,791 ",
CAN,15,,Canada," 1,992,050 ",
ESP,16,,Spain," 1,929,759 ",
SAU,17,,Saudi Arabia," 1,751,178 ",
AUS,18,,Australia," 1,436,442 ",
POL,19,,Poland," 1,416,885 ",
EGY,20,,"Egypt, Arab Rep."," 1,388,329 ",
THA,21,,Thailand," 1,343,720 ",
IRN,22,,"Iran, Islamic Rep."," 1,326,346 ",
PAK,23,,Pakistan," 1,323,645 ",
NGA,24,,Nigeria," 1,154,070 ",
VNM,25,,Vietnam," 1,134,151 ",
NLD,26,,Netherlands," 1,118,051 ",
BGD,27,,Bangladesh," 1,099,767 ",
ARG,28,,Argentina," 1,082,341 ",
PHL,29,,Philippines," 1,012,714 ",
MYS,30,,Malaysia," 970,742 ",
COL,31,,Colombia," 866,076 ",
ZAF,32,,South Africa," 865,816 ",
BEL,33,,Belgium," 682,885 ",
ROU,34,,Romania," 676,944 ",
CHE,35,,Switzerland," 672,543 ",
ARE,36,,United Arab Emirates," 660,343 ",
SGP,37,,Singapore," 635,267 ",
SWE,38,,Sweden," 617,907 ",
UKR,39,,Ukraine," 588,384 ",h
CHL,40,,Chile," 559,158 ",
KAZ,41,,Kazakhstan," 543,474 ",
DZA,42,,Algeria," 537,072 ",
IRL,43,,Ireland," 535,284 ",
AUT,44,,Austria," 523,293 ",
HKG,45,,"Hong Kong SAR, China"," 489,061 ",
CZE,46,,Czech Republic," 473,744 ",
PER,47,,Peru," 463,538 ",
IRQ,48,,Iraq," 428,634 ",
NOR,49,,Norway," 428,346 ",
ISR,50,,Israel," 409,409 ",
DNK,51,,Denmark," 378,645 ",
PRT,52,,Portugal," 369,627 ",
HUN,53,,Hungary," 356,863 ",
GRC,54,,Greece," 333,749 ",
LKA,55,,Sri Lanka," 313,002 ",
MAR,56,,Morocco," 309,101 ",c
ETH,57,,Ethiopia," 306,447 ",
FIN,58,,Finland," 304,830 ",
UZB,59,,Uzbekistan," 296,689 ",a
KEN,60,,Kenya," 276,221 ",
QAT,61,,Qatar," 274,067 ",
MMR,62,,Myanmar," 238,129 ",
NZL,63,,New Zealand," 237,789 ",
DOM,64,,Dominican Republic," 227,500 ",
AGO,65,,Angola," 223,319 ",
ECU,66,,Ecuador," 208,601 ",
BLR,67,,Belarus," 202,671 ",
KWT,68,,Kuwait," 202,011 ",
GHA,69,,Ghana," 196,050 ",
SDN,70,,Sudan," 189,393 ",
BGR,71,,Bulgaria," 184,244 ",
SVK,72,,Slovak Republic," 179,815 ",
TZA,73,,Tanzania," 175,035 ",d
GTM,74,,Guatemala," 167,149 ",b
LBY,75,,Libya," 162,528 ",a
AZE,76,,Azerbaijan," 160,729 ",
CIV,77,,Côte d'Ivoire," 160,692 ",
OMN,78,,Oman," 158,907 ",
SRB,79,,Serbia," 146,685 ",
PAN,80,,Panama," 138,809 ",
TUN,81,,Tunisia," 138,392 ",
HRV,82,,Croatia," 131,788 ",
NPL,83,,Nepal," 126,440 ",
CRI,84,,Costa Rica," 120,188 ",
LTU,85,,Lithuania," 119,263 ",
UGA,86,,Uganda," 112,991 ",
PRI,87,,Puerto Rico," 112,667 ",a
COD,88,,"Congo, Dem. Rep."," 112,587 ",
JOR,89,,Jordan," 112,466 ",
CMR,90,,Cameroon," 110,652 ",
BOL,91,,Bolivia," 106,856 ",
PRY,92,,Paraguay," 100,901 ",
TKM,93,,Turkmenistan," 96,228 ",a
SVN,94,,Slovenia," 91,917 ",
LUX,95,,Luxembourg," 86,117 ",
URY,96,,Uruguay," 85,823 ",
AFG,97,,Afghanistan," 80,912 ",a
BHR,98,,Bahrain," 79,392 ",
KHM,99,,Cambodia," 79,360 ",
LBN,100,,Lebanon," 72,370 ",a
ZMB,101,,Zambia," 68,566 ",
LVA,102,,Latvia," 64,910 ",
SEN,103,,Senegal," 64,807 ",
LAO,104,,Lao PDR," 64,009 ",
GEO,105,,Georgia," 63,036 ",e
SLV,106,,El Salvador," 63,026 ",
HND,107,,Honduras," 62,920 ",
EST,108,,Estonia," 56,083 ",
BIH,109,,Bosnia and Herzegovina," 54,978 ",
BFA,110,,Burkina Faso," 52,925 ",
MLI,111,,Mali," 51,041 ",
MAC,112,,"Macao SAR, China"," 48,591 ",b
BEN,113,,Benin," 47,180 ",
MDG,114,,Madagascar," 46,491 ",
ALB,115,,Albania," 43,991 ",
ARM,116,,Armenia," 43,424 ",
MOZ,117,,Mozambique," 43,172 ",
MNG,118,,Mongolia," 42,824 ",
NIC,119,,Nicaragua," 42,437 ",
BWA,120,,Botswana," 42,200 ",
TJK,121,,Tajikistan," 41,810 ",
PNG,122,,Papua New Guinea," 40,537 ",a
MDA,123,,Moldova," 40,249 ",g
GIN,124,,Guinea," 38,853 ",
CYP,125,,Cyprus," 38,301 ",f
TTO,126,,Trinidad and Tobago," 37,706 ",
MKD,127,,North Macedonia," 37,002 ",
ZWE,128,,Zimbabwe," 36,892 ",
HTI,129,,Haiti," 36,096 ",
GAB,130,,Gabon," 35,544 ",
KGZ,131,,Kyrgyz Republic," 35,398 ",
RWA,132,,Rwanda," 33,112 ",
NER,133,,Niger," 32,917 ",
MWI,134,,Malawi," 32,582 ",
PSE,135,,West Bank and Gaza," 30,518 ",
JAM,136,,Jamaica," 29,812 ",
BRN,137,,Brunei Darussalam," 29,415 ",
MUS,138,,Mauritius," 28,157 ",
TCD,139,,Chad," 26,904 ",
MRT,140,,Mauritania," 26,702 ",
GNQ,141,,Equatorial Guinea," 26,282 ",
NAM,142,,Namibia," 25,369 ",
MLT,143,,Malta," 24,662 ",
XKX,144,,Kosovo," 22,978 ",a
ISL,145,,Iceland," 21,461 ",
SOM,146,,Somalia," 21,307 ",a
COG,147,,"Congo, Rep."," 20,461 ",
TGO,148,,Togo," 20,180 ",
GUY,149,,Guyana," 19,358 ",
SLE,150,,Sierra Leone," 14,786 ",
MNE,151,,Montenegro," 14,137 ",
BHS,152,,"Bahamas, The"," 13,538 ",
SWZ,153,,Eswatini," 11,508 ",
FJI,154,,Fiji," 10,889 ",
MDV,155,,Maldives," 9,911 ",
SUR,156,,Suriname," 9,869 ",
BDI,157,,Burundi," 9,721 ",
BTN,158,,Bhutan," 8,588 ",
LBR,159,,Liberia," 8,044 ",
GMB,160,,"Gambia, The"," 6,053 ",
DJI,161,,Djibouti," 5,939 ",
TLS,162,,Timor-Leste," 5,937 ",a
LSO,163,,Lesotho," 5,791 ",
BMU,164,,Bermuda," 5,441 ",
CAF,165,,Central African Republic," 5,021 ",
CYM,166,,Cayman Islands," 4,763 ",
BRB,167,,Barbados," 4,263 ",
GNB,168,,Guinea-Bissau," 4,146 ",
CPV,169,,Cabo Verde," 3,949 ",
ABW,170,,Aruba," 3,329 ",
